ID_FUNDAMENTO_LEGAL_SERVICIO_SOCIAL,FUNDAMENTO_LEGAL_SERVICIO_SOCIAL
1,ART. 52 LRART. 5 CONST
2,ART. 55 LRART. 5 CONST
3,ART. 91 RLRART. 5 CONST
4,ART. 10 REGLAMENTO PARA LA PRESTACIÓN DEL SERVICIO SOCIAL DE LOS ESTUDIANTES DE LAS INSTITUCIONES DE EDUCACIÓN SUPERIOR EN LA REPÚBLICA MEXICANA 
5,NO APLICA
